L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0,Type,PAG,Comment
0,L1_SingleMuCosmics,0,0,0,0,0,
1,L1_SingleMuCosmics_BMTF,0,0,0,0,0,
2,L1_SingleMuCosmics_OMTF,0,0,0,0,0,
3,L1_SingleMuCosmics_EMTF,0,0,0,0,0,
4,L1_SingleMuOpen,63000,40.596,28.7057,40.596,40.596,
5,L1_SingleMu0_DQ,0,0,0,0,0,
6,L1_SingleMu0_BMTF,0,0,0,0,0,
7,L1_SingleMu0_OMTF,0,0,0,0,0,
8,L1_SingleMu0_EMTF,0,0,0,0,0,
9,L1_SingleMu3,22000,40.596,28.7057,40.596,40.596,
10,L1_SingleMu5,1700,182.682,60.8939,182.682,182.682,
11,L1_SingleMu7_DQ,0,0,0,0,0,
12,L1_SingleMu7,200,629.237,113.014,568.344,588.641,
13,L1_SingleMu12_DQ_BMTF,0,0,0,0,0,
14,L1_SingleMu12_DQ_OMTF,0,0,0,0,0,
15,L1_SingleMu12_DQ_EMTF,0,0,0,0,0,
16,L1_SingleMu15_DQ,1300,0,0,0,0,
17,L1_SingleMu18,210,40.596,28.7057,40.596,40.596,
18,L1_SingleMu20,0,0,0,0,0,
19,L1_SingleMu22,1,5703.73,340.256,710.429,2766.53,
20,L1_SingleMu22_BMTF,0,0,0,0,0,
21,L1_SingleMu22_OMTF,0,0,0,0,0,
22,L1_SingleMu22_EMTF,0,0,0,0,0,
23,L1_SingleMu25,1,4607.64,305.82,0,1901.25,
25,L1_SingleMu6er1p5,0,0,0,0,0,
26,L1_SingleMu7er1p5,0,0,0,0,0,
27,L1_SingleMu8er1p5,0,0,0,0,0,
28,L1_SingleMu9er1p5,0,0,0,0,0,
29,L1_SingleMu10er1p5,0,0,0,0,0,
30,L1_SingleMu12er1p5,0,0,0,0,0,
31,L1_SingleMu14er1p5,0,0,0,0,0,
32,L1_SingleMu16er1p5,0,0,0,0,0,
33,L1_SingleMu18er1p5,0,0,0,0,0,
39,L1_DoubleMu0_OQ,0,0,0,0,0,
40,L1_DoubleMu0,0,0,0,0,0,
41,L1_DoubleMu0_SQ,1500,40.596,28.7057,20.298,30.447,
